ImageId,Label
1,3
2,3
3,3
4,0
5,1
6,0
7,3
8,0
9,1
10,2
11,1
12,0
13,3
14,2
15,1
16,1
17,3
18,0
19,1
20,0
21,1
22,3
23,3
24,2
25,3
26,3
27,2
28,1
29,0
30,0
31,1
32,0
33,2
34,0
35,3
36,2
37,1
38,3
39,0
40,0
41,0
42,3
43,0
44,2
45,0
46,1
47,1
48,1
49,1
50,0
51,0
52,3
53,1
54,2
55,2
56,0
57,3
58,0
59,0
60,2
61,0
62,1
63,2
64,1
65,1
66,0
67,2
68,2
69,1
70,0
71,0
72,1
73,1
74,2
75,2
76,1
77,2
78,0
79,1
80,1
81,1
82,0
83,0
84,2
85,1
86,1
87,3
88,0
89,2
90,0
91,1
92,1
93,2
94,0
95,0
96,2
97,2
98,2
99,1
100,0
101,1
102,0
103,0
104,3
105,3
106,1
107,1
108,2
109,0
110,1
111,2
112,1
113,1
114,0
115,0
116,3
117,0
118,3
119,2
120,2
121,1
122,1
123,2
124,0
125,1
126,3
127,2
128,0
129,1
130,0
131,3
132,2
133,3
134,2
135,0
136,3
137,0
138,3
139,3
140,1
141,1
142,0
143,3
144,2
145,2
146,0
147,0
148,0
149,3
150,2
151,1
152,1
153,1
154,0
155,1
156,3
157,1
158,3
159,1
160,0
161,0
162,2
163,0
164,3
165,2
166,1
167,0
168,2
169,2
170,0
171,0
172,2
173,1
174,0
175,3
176,3
177,2
178,3
179,2
180,3
181,3
182,0
183,2
184,0
185,1
186,2
187,1
188,0
189,1
190,0
191,1
192,0
193,1
194,3
195,0
196,1
197,3
198,3
199,2
200,3
201,1
202,1
203,0
204,0
205,3
206,0
207,0
208,1
209,3
210,1
211,3
212,0
213,1
214,0
215,3
216,2
217,3
218,0
219,0
220,3
221,2
222,2
223,3
224,3
225,3
226,3
227,3
228,1
229,1
230,3
231,3
232,1
233,1
234,3
235,0
236,3
237,2
238,0
239,0
240,1
241,0
242,3
243,1
244,2
245,3
246,0
247,0
248,0
249,3
250,2
251,0
252,2
253,0
254,1
255,2
256,3
257,1
258,0
259,0
260,3
261,3
262,0
263,0
264,3
265,2
266,2
267,2
268,2
269,3
270,0
271,0
272,2
273,0
274,0
275,1
276,1
277,0
278,0
279,3
280,3
281,2
282,2
283,2
284,0
285,2
286,2
287,1
288,3
289,3
290,1
291,3
292,1
293,2
294,1
295,0
296,0
297,3
298,1
299,3
300,3
301,0
302,1
303,3
304,1
305,2
306,2
307,2
308,2
309,0
310,2
311,3
312,2
313,2
314,2
315,2
316,2
317,2
318,2
319,1
320,1
321,1
322,3
323,1
324,1
325,3
326,0
327,1
328,1
329,0
330,3
331,1
332,1
333,3
334,1
335,3
336,2
337,0
338,2
339,1
340,3
341,2
342,2
343,2
344,0
345,3
346,2
347,2
348,2
349,0
350,2
351,1
352,0
353,1
354,1
355,0
356,2
357,0
358,1
359,0
360,3
361,0
362,2
363,0
364,0
365,1
366,2
367,1
368,2
369,1
370,3
371,3
372,3
373,2
374,0
375,3
376,1
377,1
378,3
379,2
380,3
381,1
382,3
383,3
384,1
385,2
386,1
387,3
388,1
389,2
390,3
391,3
392,1
393,3
394,3
395,3
396,0
397,0
398,0
399,3
400,3
401,3
402,0
403,0
404,1
405,0
406,0
407,0
408,0
409,1
410,1
411,0
412,1
413,3
414,0
415,0
416,0
417,2
418,1
419,3
420,0
421,3
422,1
423,2
424,3
425,0
426,2
427,3
428,1
429,0
430,2
431,2
432,3
433,3
434,3
435,3
436,0
437,0
438,0
439,0
440,1
441,3
442,0
443,3
444,3
445,3
446,3
447,2
448,3
449,3
450,3
451,1
452,1
453,3
454,1
455,1
456,3
457,0
458,3
459,2
460,1
461,1
462,1
463,3
464,1
465,2
466,2
467,3
468,2
469,2
470,2
471,2
472,1
473,1
474,1
475,1
476,2
477,0
478,1
479,3
480,3
481,2
482,0
483,3
484,0
485,3
486,3
487,2
488,0
489,0
490,0
491,3
492,3
493,3
494,2
495,2
496,2
497,1
498,3
499,1
500,0
501,3
502,1
503,1
504,3
505,0
506,1
507,1
508,0
509,1
510,2
511,2
512,0
513,1
514,2
515,0
516,0
517,3
518,2
519,1
520,3
521,3
522,0
523,0
524,1
525,1
526,0
527,3
528,2
529,2
530,1
531,1
532,0
533,3
534,2
535,0
536,0
537,3
538,1
539,0
540,0
541,2
542,1
543,1
544,3
545,0
546,1
547,2
548,0
549,1
550,3
551,0
552,3
553,3
554,0
555,1
556,0
557,3
558,3
559,2
560,3
561,0
562,0
563,2
564,3
565,3
566,0
567,2
568,3
569,2
570,3
571,3
572,1
573,2
574,3
575,0
576,1
577,0
578,3
579,3
580,0
581,2
582,1
583,1
584,2
585,3
586,0
587,3
588,2
589,0
590,2
591,2
592,1
593,1
594,3
595,2
596,0
597,2
598,0
599,1
600,1
601,0
602,0
603,3
604,2
605,0
606,1
607,2
608,3
609,0
610,0
611,3
612,2
613,3
614,3
